Var,Base,x,y,color,size,slider,label,desc,group,tipo,categoria
Municipio,DETER,FALSE,FALSE,FALSE,FALSE,FALSE,Município,Município,Geral,Texto,Ambiente
Ano,DETER,TRUE,FALSE,FALSE,FALSE,TRUE,Ano,Ano,Geral,Data,Ambiente
Mes,DETER,TRUE,FALSE,FALSE,FALSE,TRUE,Mês,Mês,Geral,Data,Ambiente
Classe,DETER,FALSE,FALSE,FALSE,FALSE,FALSE,Classe,Descreve qual evento ocorreu na área afetada,DETER,Texto,Ambiente
UF,DETER,FALSE,FALSE,FALSE,FALSE,FALSE,Estado,Estado (UF),Geral,Texto,Ambiente
Area_em_UC_km2,DETER,TRUE,TRUE,TRUE,TRUE,FALSE,Área em Unidade de Conservação,Área do aviso contida em uma Unidade de Conservação,DETER,km2,Ambiente
Area_em_Municipio_km2,DETER,TRUE,TRUE,TRUE,TRUE,FALSE,Área em município,Área do aviso que intercepta um município,DETER,km2,Ambiente
CodIBGE,DETER,FALSE,FALSE,FALSE,FALSE,FALSE,Código IBGE do município,Código IBGE do município,Geral,Inteiro,Ambiente
Lat,PRODES,FALSE,TRUE,FALSE,FALSE,FALSE,Latitude,Latitude,Geral,Coordenadas,Ambiente
Long,PRODES,TRUE,FALSE,FALSE,FALSE,FALSE,Longitude,Longitude,PRODES,Coordenadas,Ambiente
Latgms,PRODES,FALSE,FALSE,FALSE,FALSE,FALSE,Latitude (ms),"Latitude em graus, minutos e segundos",Geral,Coordenadas,Ambiente
Longms,PRODES,FALSE,FALSE,FALSE,FALSE,FALSE,Longitude (ms),"Longitude em graus, minutos e segundos",Geral,Coordenadas,Ambiente
Municipio,PRODES,FALSE,FALSE,FALSE,FALSE,FALSE,Município,Município,Geral,Texto,Ambiente
Estado,PRODES,TRUE,FALSE,FALSE,FALSE,FALSE,Estado,Estado (UF),Geral,Texto,Ambiente
AreaKm2,PRODES,TRUE,TRUE,TRUE,TRUE,FALSE,Área observada,Área total observada,PRODES,km2,Ambiente
Desmatado,PRODES,TRUE,TRUE,TRUE,TRUE,FALSE,Área desmatada,Área desmatada,PRODES,km2,Ambiente
Incremento,PRODES,TRUE,TRUE,TRUE,TRUE,FALSE,Incremento do desmatamento,Incremento do desmatamento,PRODES,km2,Ambiente
Floresta,PRODES,TRUE,TRUE,TRUE,TRUE,FALSE,Área de floresta,Área de floresta,PRODES,km2,Ambiente
Nuvem,PRODES,TRUE,TRUE,TRUE,TRUE,FALSE,Área de nuvens,Área de nuvens,PRODES,km2,Ambiente
NaoObservado,PRODES,TRUE,TRUE,TRUE,TRUE,FALSE,Área não observada,Área com observações descartadas por baixa visibilidade ou por não pertencer à Amazônia Legal,PRODES,km2,Ambiente
NaoFloresta,PRODES,TRUE,TRUE,TRUE,TRUE,FALSE,Área sem floresta,Área sem ocorrência natural de floresta,PRODES,km2,Ambiente
Hidrografia,PRODES,TRUE,TRUE,TRUE,TRUE,FALSE,Hidrografia,Área de corpos d'água,PRODES,km2,Ambiente
CodIBGE,PRODES,FALSE,FALSE,FALSE,FALSE,FALSE,Código IBGE do município,Código IBGE do município,Geral,Inteiro,Ambiente
Ano,PRODES,TRUE,FALSE,FALSE,FALSE,TRUE,Ano,Ano,Geral,Data,Ambiente
territory_id,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,Código IBGE do município,Código IBGE do município,Geral,Inteiro,Ambiente
municipality,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,Município,Município,Geral,Texto,Ambiente
state,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,Estado,Estado (UF),Geral,Texto,Ambiente
level_0,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,level_0,Se a cobertura é natural ou não,MapBiomas,Texto,Ambiente
level_1,MapBiomas,FALSE,FALSE,FALSE,FALSE,FALSE,level_1,Tipo de cobertura,MapBiomas,Texto,Ambiente
